iter	TotalF1:average=Macro	MultiClass
429	0.9765294023	0.105904446
430	0.976942811	0.1055801942
431	0.9770415819	0.1053320932
432	0.9770943658	0.1050077897
433	0.9770687621	0.1049011016
434	0.9770638997	0.1047590431
435	0.9771258432	0.1044958119
436	0.9774455671	0.1043158433
437	0.9774101237	0.1041380851
438	0.9774417363	0.1039449123
439	0.9773021491	0.1037609269
440	0.9775013033	0.1033556613
441	0.9776202443	0.1031305831
442	0.9777383652	0.1029696786
443	0.9777383652	0.102806646
444	0.9777383652	0.1026293757
445	0.9777613819	0.1024988891
446	0.9776863098	0.1023372062
447	0.9776765616	0.1021673409
448	0.9779233452	0.1019294993
449	0.9778971236	0.1017872489
450	0.9779978043	0.1016707788
451	0.9779978043	0.1015189774
452	0.9780074707	0.1013325081
453	0.9781735053	0.1011139188
454	0.97812308	0.1008913467
455	0.978350597	0.1007136862
456	0.9783620233	0.1004793426
457	0.9786157721	0.1002909693
458	0.9786413994	0.10004065
459	0.9786844341	0.09970799013
460	0.978608071	0.09956953974
461	0.9786278672	0.09936354131
462	0.9786073763	0.09906347714
463	0.9786336978	0.09884013599
464	0.9787650636	0.09860513406
465	0.9788973918	0.0985305213
466	0.979123052	0.09818823135
467	0.97926729	0.09770629983
468	0.97926729	0.09759082546
469	0.9792754243	0.09741808995
470	0.9794636937	0.09723253014
471	0.9795729595	0.09700562839
472	0.9795473255	0.09680965157
473	0.9796931235	0.09654666461
474	0.9797684556	0.09631469537
475	0.979935084	0.0961922107
476	0.9801265841	0.09588425663
477	0.980272771	0.09565977972
478	0.9802940018	0.09554071617
479	0.980352593	0.09542777437
480	0.9802990758	0.09531839654
481	0.9802734303	0.09525648454
482	0.9802990758	0.09505673474
483	0.9802734303	0.09489164937
484	0.9803346846	0.094818461
485	0.9803346846	0.09473159121
486	0.9803853946	0.0945739143
487	0.98030838	0.09438209858
488	0.9803038275	0.09419647153
489	0.9803529155	0.09403321613
490	0.980414174	0.09383999548
491	0.9803292616	0.0936450644
492	0.9806037895	0.09338092729
493	0.9808508978	0.09320084243
494	0.9808772156	0.09296482506
495	0.9809721744	0.09286710618
496	0.9811248317	0.0927391648
497	0.9811248317	0.09257358144
498	0.9812640287	0.09239304875
499	0.9811768168	0.09227836784
